Cocktail,Ingredients,Preparation,Bar/Company,Location
Kir Royale," Briottet Creme de Cassis, Chilled Dry Champagne","Add room temperature Creme de Cassis to the glass first, followed by the Champagne.",,
Kir," Briottet Creme de Cassis, Chilled Dry White Wine","Add room temperature Creme de Cassis to the glass first, followed by the wine.",,
Citrus Agave Caipirinha," Ypioca Brasilizar Cachaca Prata Classica, Citrus Agave Blend, Soda Water","Add soda to bucket first, then add spirits and mixers. Top with ice and garnish.",,
Bermuda Highball," Chateau de Montifaud Cognac VSOP, Plymouth Gin, Contratto Bianco Vermouth, Regans' Orange Bitters No. 6, Club Soda",Add spirits and bitters to collins glass. Add large ice cubes and fill with club soda. Garnish with orange peel (or lemon peel).,,
Lux Cherry Sparkler," Luxardo Sangue Morlacco Cherry Liqueur, Prosecco","Add the Cherry Liqueur to a flute, top with Prosecco, and garnish with a Luxardo Maraschino Cherry.",,
French Maid," H by HINE, House Ginger Beer,  Lime juice,  Simple syrup,  John D. Taylor's Velvet Falernum, 3  Cucumber wheels, 8  Mint leaves, 1  Mint sprig","Add the cucumber, mint and simple syrup to a mixing glass and muddle. Add everything else, then shake with ice and strain into a Collins glass filled with ice. Garnish with a mint sprig poking through a cucumber wheel.",PDT ,New York
Karlsson's Mule," Karlsson's Gold Vodka,  Lime juice , Ginger beer","Add vodka and lime juice to drinking glass, add ice, and top with ginger beer. Garnish with a lime.",,
Creek Ran Dry," Pear Brandy, Dry Vermouth,  Chateau de Montifaud Pineau des Charentes Blanc,  Dolin Genepy",Barrel aged for 5 months in a used bourbon barrel.  Stir with ice and strain into a small coupe. Garnish with an orange twist.,Dirty Habit,San Francisco
Mandrake," BarSol Primero Quebranta Pisco, BarSol Perfecto Amor (Aperitif Wine),  Leopold Bros. Bitter,  Velvet Falernum,   Red Hawaiian Salt",Barrel aged in a used bourbon barrel that previously held a cocktail containing Hine Cognac and Luxardo Bitter.  Stir with ice and strain into a small coupe. Garnish with an orange twist.,Dirty Habit,San Francisco
Redondo Beach," Chinaco Blanco Tequila,  F. Meyer Mirabelle (Yellow Plum),  Fino Sherry,  The Genuine Curacao Liqueur Blue, Horchata,  Simple Syrup (2:1),  Lime Juice",Blend with ice.,Bon Vivants,
The Tahoe Toddy," Hot Water, Glenrothes, King's Ginger Liqueur, Honey",Boil water in a tea kettle.   Squeeze lemon slice into the mug. Insert whole cloves into the lemon slice and drop it into the mug.,,San Francisco
Pink Ribbon,"1 cube Brown Sugar, soaked in Peychaud's Bitters,  Pink Pigeon Rum,  fill Champagne",Brown sugar cube soaked in Peychaud’s Bitters. Put soaked sugar cube in glass first. Pour .75 oz Pink Pigeon rum into flute over sugar cube. Fill remainder of the glass with champagne. Garnish with lemon twist.,,
Short Round II," Avuá Prata Cachaça, Bacardi Superior Rum, Chateau de Montifaud Pineau des Charentes Rose, Lime Juice, Cannella Cinnamon Cordial, Simple Syrup",Build & Stir. Hoshizaki Ice.,Dirty Habit,San Francisco
A Gift from Zara," Luxardo Bitter Bianco,  London Dry Gin,  Elderflower Liqueur, Citric Acid, Orange Flower Water, Topo Chico Mineral Water",Build all ingredients except for the Topo Chico in a wine glass. Fill the glass with cubed ice then top with Topo Chico by pouring it down a barspoon to incorporate. Zest the top with orange and place it in the glass. Add edible flowers for aroma and aesthetic.,,Houston
Gin Made Me Do It," Junipero Gin, C. Drouin Calvados Selection, Vermouth del Professore, Angostura Bitters, St. George Absinthe","Build all ingredients in a mixing glass, add ice and stir. Strain into a chilled martini glass and garnish with fresh fennel flowers.",Wildhawk,San Francisco
Clearly Bitter," Luxardo Bitter Bianco, Junipero Gin,  Dry Vermouth,  Curacao, Rhubarb Bitters",Build all ingredients in a mixing glass. Stir with ice and strain into coupe. Garnish with grapefruit peel.,,Houston
Short Round," Bacardi Superior Rum, Chateau de Montifaud Pineau des Charentes Blanc, Lemon Juice, Velvet Falernum","Build all ingredients in a punch bowl and add ice, stir gently. Garnish with seasonal fruit and citrus wheels.",Dirty Habit,San Francisco
Ypioca Yellow Card," Ypioca Brasilizar Cachaca Prata Reserva Especial,  King's Ginger Liqueur, Pineapple Juice,  Simple Syrup, Coconut Water, 1 fill Soda Water",Build all into highball. Fill with ice. Top with soda water. Place pineapple leaf vertically in the glass.,Presidio Social Club,San Francisco
Buzzard's Bay," No.3 London Dry Gin,  Real Cranberry Juice,  Luxardo Fernet,  Lime juice, Puer Black Tea",Build and pour in punch bowl over large ice block.,Bon Vivants,
Kick the Pigeon," oz Pink Pigeon Rum,  oz St. Germaine Elderflower Liqueur,  oz Lemon ,  oz Vanilla Syrup,  oz Prosecco",Build and serve in a champagne flute.,,
Croatia Firing Squad," Luxardo Bitter Bianco, Lillet Blanc, No.3 London Dry Gin,  Rose Wine","Build cocktail in glass, add ice and stir. Garnish with rose petal.",The Forgery,San Francisco
The King's Ginger Summer Cup," King's Ginger Liqueur, Cranberry Juice, Fever-Tree Lemonade",Build in a glass over ice. Add lemon wheels and strawberries. Finish with a splash of fresh lemon or top up with some sparkling wine. This drink can also be made in jugs or punch bowls.,,
Pink Pigeon Punch," Pink Pigeon Rum, Agave Syrup, Watermelon, 2  Lemon Juice,  top Ginger Beer","Build in a large pitcher or punchbowl. Combine Pink Pigeon Rum, juice from 2 lemons and agave. Blend 7 oz. of fresh watermelon in a blender and puree to mixture. Add a generous amount of ice and stir. Top with ginger beer. Ladle or pour into coupe glasses.",,
Kentucky Garrigue," Wild Turkey 101 Bourbon,  Strawberry, Black Pepper Balsamic Shrub*,  Luxardo Sangue Morlacco Cherry Liqueur, Fever-Tree Tonic Water","Build in a mixing glass and add ice. Slowly pour back and forth between two tins, about 4-6 times. Then dump the whole cocktail into a Fizz or Collins glass.",Dirty Habit,San Francisco
Bitter Valencia," Luxardo Bitter Bianco,  Gin,  Clarified Milk*, Orange Bitters, Vanilla","Build in a mixing glass. Add ice. Stir to dilute. Strain into a Nick & Nora glass. Garnish with an orange twist.  *Clarified Milk: -- 1 C Whole Milk -- .5 oz Lemon Juice  Heat milk to just before a simmer, then add lemon juice. Lightly stir to break the solid from the whey. Let chill for 5 mins to allow the solids to properly separate. Coffee strain twice for clarity.",,Houston
Chilcano (variation)," BarSol Primero Quebranta Pisco,  King's Ginger Liqueur,  Fresh Lime Juice,  Agave Nectar, Cranberry Bitters, Ginger Beer","Build in an ice filled 14 oz beer glass, add BarSol Pisco, Ginger Liqueur, fresh lime juice, and agave nectar. Roll into a Boston shaker and shake to mix, place cranberry bitters on top, add ginger beer and garnish with a wedge of fresh lime.",Hotel Monteleone,New Orleans
Little Ground Tapper," H by HINE,  Small Hand Foods Pineapple Gum Syrup, Luxardo Maraschino Liqueur, Angostura Bitters",Build in an old fashioned glass over ice. Garnish with orange peel.,Tin Roof Drink Community,San Francisco
Prince of Humbugs," Hirsch Small Batch Reserve Bourbon,  Luxardo Bitter,  Cold Blue Bottle Coffee,  Luxardo Anisette, Peychaud's Bitters",Build in collins glass. Top with soda. Orange peel.,Jupiter Olympus ,San Francisco
The Big Picture," Tempus Fugit Alessio Vino Chinato, Fig-Infused C. Drouin Calvados Selection,  Lemon,  Simple Syrup",Build in glass. Add crushed ice and swizzle. Top with more crushed ice. Dash pepita tincture on top for aromatics. Garnish with lemon wheel and dried fig.,,
The King's Squeeze," King's Ginger Liqueur, Fever-Tree Bitter Lemon","Build in ice-filled tall glass, garnish with a squeeze of lime.",,
English Harbour Colada," English Harbour Rum 5 YO, Fresh Squeezed Pineapple Juice, Fresh Coconut Water",Build in old fashioned glass over ice.,,
Rita's Song," Nikka Whisky Taketsuru Pure Malt 12 YO,  15 YO Sherry, 2 dashes Dr. Adam's Boker's bitters,  Simple syrup","Build in old fashioned glass, stir and serve over large ice cube.",,
Le Femme Nikita," Nikka Whisky Taketsuru Pure Malt 12 YO,  Rich Cane Syrup, Bittermens Xocolatl Mole Bitters, Cinnamon Bitters",Build in rocks glass. Use cylinder ice cube.,Pouring Ribbons,New York
1880's Americana," Hirsch Small Batch Reserve Bourbon, Amer Picon, House Cola Syrup",Build over ice in Old Fashioned glass.,,
Luxardo Maraschino Simple Spritz," Luxardo Maraschino Liqueur,  Squeeze of Lime , Italian Sparkling Water","Build over ice, stir lightly, and garnish with a lime twist and a Luxardo Cherry.",,
Aperitivo Spritz," Luxardo Aperitivo, Prosecco, Sparkling Water","Build over ice, stir lightly, and garnish with an orange peel or slice and Luxardo Cherry.",,San Francisco
La Chiara," Luxardo Bitter Bianco, BarSol Primero Quebranta Pisco, Fever-Tree Indian Tonic, Luxardo Maraschino Liqueur",Build spirits in a tall glass over clear ice. Top with 4 oz tonic and garnish with a lemon twist curled into a flower if you're feeling fancy.,,Houston
Luxardo Ice Cream Float," Luxardo Cherry Syrup (from jar of cherries), Vanilla Ice Cream,  top Soda Water","Build syrup and ice cream in a lowball cocktail glass, and top with soda water. Serve with a metal straw, a spoon, and garnish with a Luxardo Maraschino Cherry.",Gastronomista.com,
Negroni," No.3 London Dry Gin, Campari, Martini & Rossi Sweet Vermouth",Build the cocktail in a mixing glass. Stir for about 15 seconds and then strain over ice into a old fashioned glass.,Dirty Habit,San Francisco
Nellie Fer' Toddy," Blended Scotch, King's Ginger Liqueur,  The Genuine Curacao Liqueur Orange,  Fresh Lemon Juice,  top Hot Water, Peychaud's Bitters",Build then pour into a pre-heated Irish coffee glass or mug. Top with hot water. Garnish with the orange slice and add a dash of Peychaud's Bitters.,,
Almond Crusta," H by HINE,  Junipero Gin,  LemonJuice,  Orgeat, Angostura Bitters",Chill coupe glass and garnish rim by coating the outer lip of the glass with a wedge of lemon and dipping into a shallow dish containing superfine white sugar. Place lemon strip neatly along side of sugared coupe. Combine all liquid ingredients into shaker; add ice and shake. Double strain into glass.,,San Francisco
Mexico Mule," Montelobos Mezcal,  King's Ginger Liqueur,  Fresh Lime Juice, Apple Cider,  Monin French Raspberry Syrup","Chill cup and place a napkin around it. In the base of the cup put everything except the cider and the raspberry syrup and give a brief stir. Add some crushed ice. Stir vigorously. Top with crushed ice. Add cider. Pour raspberry syrup on top. Garnish with cinnamon quill as a stirrer, some small flowers, and a lime wheel.",Ancestral Garden Bar & Restaurant,New Zealand
Hidarite," Nikka Coffey Grain Whiskey,  Luxardo Bitter,  Tempus Fugit Alessio Vermouth di Torino Rosso, Chocolate Bitters",Chilled. Serve up or on the rocks.,,
Bird is the Word," Pink Pigeon Rum,  Luxardo Maraschino Liqueur,  Green Chartreuse,  Lime Juice,  Pineapple Juice",Cold shake-strain into coupe and garnish with a Luxardo Maraschino Cherry.,,
Jammie Dodger Fizz," H by HINE,  Tempus Fugit Creme de Noyaux,  Orgeat,  Lemon,  Lime, Heavy Whipping Cream, 1  Egg White","Combine all ingredients and shake thoroughly without ice for several minutes. Add ice, shake, and strain into a tall collins glass. Top with soda and garnish with an orange wheel.",Small Victory,Austin
Rudolph's Rose," Christmas Spirit,  Luxardo Maraschino Liqueur,  Chateau de Montifaud Pineau des Charentes Rose,  Tempus Fugit Gran Classico Bitter",Combine all ingredients and stir with ice in a mixing glass. Strain into coupe glass and garnish with a Luxardo Cherry.,Dirty Habit,San Francisco
Heard It Through The Grapevine," H by HINE,  Graham's 20 Year Tawny Port,  Tempus Fugit Kina L'Aero d'Or,  Velvet Falernum,  Benedictine",Combine all ingredients and stir. Pour the mixture into a chilled Nick & Nora glass and garnish with the orange zest.,Juliet Ristorante,Austin
Snow Bunny," Christmas Spirit,  King's Ginger Liqueur,  Lemon juice,  Honey syrup,  Egg white, Ale, Dale DeGroff's Pimento Aromatic Bitters","Combine all ingredients besides beer and bitters and dry shake without ice. Add ice and re-shake, double strain into a fizz glass and top with beer. Garnish with shaved nutmeg and 3 drops of bitters.",Dirty Habit,San Francisco
A Love Song," No.3 London Dry Gin, Maurin Quina,  Luxardo Bitter,  King's Ginger Liqueur",Combine all ingredients besides blood orange into a mixing glass and stir until proper dilution (15-20 seconds). Pour into a small martini glass. Rub a thin slice of blood orange around the rim and place in drink.,,San Francisco
Drops of Jupiter," Junipero Gin,  Genevieve Gin,  Rich Wild Sage Honey Syrup, Angostura Bitters, Whiskey Barrel Aged Bitters,  Spring Water",Combine all ingredients except Duke's Lemon garnish in mixing glass and stir. Pour into a rocks glass and garnish. Ice does not touch this drink.,,San Francisco
Mother Superior," Blanc Vermouth,  Lemon Juice,  Junipero Gin,  Giffard Pamplemousse,  House-made Yellow Shaw-treuse*,  Tonic, Celery Bitters, Coriander Tincture",Combine all ingredients except for tonic. Shake with ice. Strain into a chilled coupe. Top with the tonic and garnish with a fresh grapefruit peel.   *Substitute with Yellow Chartreuse Liqueur,Local Edition,San Francisco
Round Pond Aperitif," Luxardo Aperitivo,  Round Pond Blood Orange Syrup,  Fresh Lemon Juice, Sparkling Wine","Combine all ingredients except soda in a shaker with ice, shake to combine. Pour into a coupe glass and garnish with a lemon peel.",,San Francisco
Across The Pond," Junipero Gin, King's Ginger Liqueur,  Round Pond Meyer Lemon Syrup,  Fresh Lemon Juice, Soda water","Combine all ingredients except soda in a shaker with ice, shake to combine. Pour over ice in a rocks glass and top with soda. Garnish with a Luxardo cherry. ",,San Francisco
Fizzy Rhubarb Mule," Rhubarb Infused Gin*,  King's Ginger Liqueur,  Lemon,  Simple Syrup , 1  Egg White,   Soda",Combine all ingredients except soda in a tin and dry shake. Add ice and shake vigorously. Add soda into a collins glass and slowly strain the drink over it until it forms a head. Garnish with one rhubarb stalk.  *Rhubarb Infused Gin: 750 ml of gin with 3 chopped stalks of fresh rhubarb for 48 hours,The Cedars Social,Dallas
Charente Royale," H by HINE,  Elderflower Liqueur, Absinthe,  top Sparkling Wine",Combine all ingredients except sparkling wine in a shaker. Add ice and shake until chilled through. Double strain into a champagne flute and garnish with an orange twist.,Turnkey,San Francisco
Peachy Keane," Old Forester Bourbon,  King's Ginger Liqueur,  Giffard Crème de Pêche de Vigne,  Honey syrup (local honey cut 2:1 with water),  Lemon juice, 1  Egg white, Angostura Bitters",Combine all ingredients except the bitters and dry shake. Add ice and shake again. Strain over fresh ice into a double old fashioned glass. Dash bitters over the top of the cocktail. Garnish with a dried peach and a piece of candied ginger.,Ida Claire,Dallas
